Area,Year,Total Crops Yielded per 100g/ha,Total Crop Based Food Balance per 1000t,Total Fertilizers Used in Tonnes,Total FDI Inflows per million USD,Total Crop Emissions N20,Total Land Use per 1000/ha,Total Pesticides Used in Tonnes,Total Cereal Export Value per 1000 USD,Total Sugar and Honey Export Value per 1000 USD,Total Fruits and Vegetables Export Value per 1000 USD,Total Tobacco Export Value per 1000 USD,Total Fats and Oils Export Value per 1000 USD
Albania,2010,102745.72727272728,3.230769230769231,22947.4,1050.714858,0.1551,696.0,590.5,624.0,160.0,11791.0,4235.0,1005.0
Albania,2011,108613.27272727272,4.3076923076923075,26066.8,876.271104,0.1575,696.0,582.68,2911.0,556.0,18571.0,4163.0,2380.0
Albania,2012,112625.36363636363,5.615384615384615,25001.6,855.435093,0.1567,696.0,361.61999999999995,4814.0,491.0,20612.0,4661.0,2723.0
Albania,2013,107375.09090909091,6.846153846153847,19481.713333333333,1254.930606,0.1569,696.3,450.6,6596.0,324.0,32438.0,6104.0,2092.0
Albania,2016,132529.72727272726,13.666666666666666,28082.0,1043.18047,0.1558,703.5,584.49,15198.79,258.09,69861.95,4989.45,1603.3299999999997
Algeria,2010,67902.3,12.833333333333336,22688.514166666664,1617.43,1.3247,8411.0,1869.58,20595.0,6486.0,31299.0,72.0,30340.0
Algeria,2011,76440.7,42.75,25839.25818181818,2580.626408,1.3254,8421.0,7612.21,3548.0,267975.0,36999.0,62.0,33263.0
Algeria,2012,78340.5,42.16666666666666,32407.109999999997,1499.446845,1.5771000000000002,8430.5,8980.17,3375.0,212026.0,40297.0,58.0,7298.0
Algeria,2013,83249.1,56.0,36266.12777777778,1696.86675,1.5138,8435.2,8269.57,993.0,275370.0,53598.0,233.0,1559.0
Algeria,2014,88231.9,55.16666666666666,47210.36333333333,1506.733438,1.1682,8439.2,7151.52,1617.67,230789.18,49827.58,223.35,60256.33
Algeria,2015,89652.7,46.0,44827.92000000001,-584.539199,1.2534,8462.4,4516.93,2940.52,150808.26,49722.48,21.65,54585.14
Algeria,2016,85897.8,57.58333333333334,42568.33333333334,1636.299236,1.2611,8417.6,4153.38,3292.0800000000004,233922.94,51329.71,25.97,69072.2
Angola,2010,86456.0,1.1666666666666667,7907.0,-3227.211182,0.6288,4435.0,40.0,51.0,2.0,19.0,3696.0,9000.0
Angola,2011,90454.54545454546,1.25,7562.6849999999995,-3023.770966,0.7243,4935.0,40.0,50.0,2.0,19.0,1145.0,18000.0
Antigua and Barbuda,2011,29535.125,0.0,6.25,65.160596,0.0,5.0,781.95,53.0,64.0,39.0,58.0,0.0
Argentina,2010,143092.18181818182,3983.6923076923076,252447.53846153847,10871.0,20.8085,39003.1,235739.1,5511176.0,471971.0,2884745.0,308447.0,5071531.0
Argentina,2011,149434.45454545456,4198.384615384615,275388.6923076923,10981.0,22.9573,39626.5,220610.04,9542594.0,462219.0,3694648.0,398961.0,6836849.0
Argentina,2012,135268.54545454544,4291.923076923077,262820.2727272727,16844.0,20.679499999999997,40622.9,216308.7,10671608.0,505780.0,3503120.0,400049.0,5729880.0
Argentina,2013,146935.27272727274,3752.0,272066.7272727273,13436.0,22.4878,40391.3,212007.35,9175048.0,460102.0,3142428.0,352375.0,5021611.0
Argentina,2014,136083.45454545456,3381.3333333333335,208030.73333333334,11476.0,23.1614,40215.7,207706.0,6232618.920000001,338943.8,2798095.09,291520.39,4174754.22
Argentina,2015,130677.54545454546,4097.333333333333,159375.98533333334,15264.0,25.8017,41339.1,203807.0,5684089.83,313901.12,2772236.66,224546.23,4602651.53
Argentina,2016,131798.18181818182,5252.0,239728.11,395.0,26.0452,41162.5,199908.0,7703276.03,474315.51,3226302.5,396807.47,4880084.57
Argentina,2017,133485.0,5073.083333333333,248495.6,11516.86146,27.9163,41385.9,196009.0,7699620.079999999,396196.84,3040804.86,322269.83,4750151.34
Argentina,2018,134543.36363636365,4431.583333333333,283804.5333333333,11716.58357,24.1994,41276.759699999995,172928.0,8006155.070000001,271875.9,2850624.56,235384.72,3525452.37
Argentina,2019,130536.63636363637,6122.666666666667,304063.25,6649.187838,29.0652,41876.759699999995,204559.0,9716915.3,280553.28,2818355.38,186414.01,4051351.82
Argentina,2020,126427.18181818182,5874.25,386045.0,4722.648813,28.7092,43076.759699999995,241294.18,9399901.67,297824.04,2959521.44,184893.77,4357607.7
Armenia,2010,89803.0,4.833333333333333,3495.777777777778,535.7375,0.1055,503.6,278.72,547.0,1875.0,17604.0,8286.0,12.0
Armenia,2011,98530.66666666667,6.333333333333333,3302.7272727272725,703.231,0.1297,502.6,320.67,506.0,3023.0,28628.0,16319.0,26.0
Armenia,2016,98123.77777777778,14.846153846153847,12519.185,333.733933,0.1677,504.4,530.42,1505.62,1296.19,74101.84,211565.11,605.44
Armenia,2017,99019.88888888889,14.384615384615387,7504.685,-104.174834,0.0981,504.1,572.37,1249.52,1676.96,56998.84,237443.90000000002,246.91
Armenia,2018,90205.33333333333,17.076923076923077,2160.0639130434784,266.79879,0.10010000000000001,504.7,614.32,1380.44,1354.12,80455.0,267620.17,79.22
Armenia,2019,90732.11111111111,17.153846153846153,3276.797826086957,100.918496,0.0688,505.0,527.33,1209.38,1008.86,95629.32,290454.69,54.49
Armenia,2020,95958.44444444444,21.083333333333332,1868.2252173913043,58.119397,0.0794,504.0,639.15,1903.47,855.32,133750.84,254597.89,157.55
Australia,2010,165335.54545454544,2268.4615384615386,546529.8888888889,36443.27436,9.2375,25968.0,42169.39000000001,5485236.0,1704141.0,1421767.0,116500.0,496979.0
Australia,2011,163607.27272727274,2489.7692307692305,278156.3,58908.90108,10.5652,32078.0,47632.98,8142393.0,1267030.0,1573502.0,118044.0,637929.0
Australia,2012,165600.36363636365,3271.3076923076924,539142.2857142857,59552.64072,11.348100000000002,31993.0,48687.88,9684624.0,1467487.0,2165893.0,84252.0,621416.0
Australia,2013,175024.54545454544,2877.6153846153848,369481.0,56765.52362,9.5215,31611.0,45177.19,8855119.0,1385934.0,2156682.0,54039.0,699085.0
Australia,2014,171564.72727272726,2827.3076923076924,433516.0,58506.706569999995,10.1747,32307.0,49857.35,8445648.63,1309941.54,2141165.42,57735.28,640441.74
Australia,2015,177714.0,2824.3846153846152,446052.4166666667,29579.51754,9.9015,31397.0,50921.6,7401687.5,1335729.52,2940844.83,49801.55,528145.85
Australia,2016,170887.18181818182,2807.153846153846,397817.75,48400.62146,9.354,30378.0,63416.48,6225581.5,1696633.0300000003,3105048.5,50913.95,550246.72
Australia,2017,173819.0,3602.3076923076924,399294.6000000001,46114.2279,12.7469,31074.0,60201.35999999999,7858187.5,1776844.43,3912746.97,52053.51,572666.64
Austria,2010,211357.5,445.8461538461539,34544.166666666664,2576.005404,0.9623,1429.1,3692.4,1257423.0,232492.0,1331343.0,94724.0,205020.0
Austria,2011,257911.6,451.8461538461539,33152.083333333336,10615.064890000001,1.126,1424.9,3441.5,1546908.0,264680.0,1531205.0,86532.0,297598.0
Austria,2016,187342.5,514.9230769230769,52773.888,-8508.777756,1.13,1411.36,3662.0,1471624.19,252833.01999999996,1306835.73,518.48,275938.83
Austria,2017,176895.2,519.7692307692307,52786.398,14953.51386,0.9749,1395.81,4656.0,1573646.09,274037.03,1292785.94,156.46,271717.2
Austria,2018,273163.71428571426,510.5384615384615,50540.952000000005,5389.880629,0.9560999999999998,1394.02,5295.0,1645402.84,264519.91,1425754.09,145.39,296150.42
Austria,2019,250783.2857142857,535.1538461538462,44792.371,4905.538714,1.0717,1392.4,4963.0,1688589.26,253246.65,1331950.19,619.47,289309.17
Austria,2020,273480.71428571426,595.5833333333334,51657.112,-9351.163784,1.1126,1392.6854,5595.0,1805375.5400000003,261953.97,1435434.18,1050.51,299776.71
Austria,2021,267148.0,618.0833333333334,48735.831,13493.88641,1.06,1387.4794,5862.0,1977939.44,279707.62,1612567.68,565.14,409048.68
Azerbaijan,2010,81555.36363636363,52.84615384615385,4061.4166666666665,3614.9,0.5603,2111.5,333.85,4146.0,146452.0,176710.0,6830.0,100687.0
Azerbaijan,2011,85277.0,56.84615384615385,6742.833333333333,4293.8,0.6562,2112.9,461.84,3907.0,199185.0,254338.0,9307.0,96491.0
Bahrain,2021,191570.5,8.76923076923077,133.79874999999998,1779.175532,0.0,4.1,12.07,146397.11,4251.34,18287.69,18174.64,4022.09
Bangladesh,2010,83083.1,9.833333333333334,687952.2,913.32,12.9136,8641.0,13250.83,12760.0,239.0,41744.0,62961.0,2075.0
Bangladesh,2011,85092.7,15.166666666666664,808752.4,1136.38,13.0519,8528.0,14798.28,13450.0,686.0,81215.0,72868.0,2195.0
Bangladesh,2012,88782.3,13.416666666666664,1106000.0,1292.56,13.0232,8523.0,13289.18,16888.0,663.0,92083.0,69212.0,2004.0
Bangladesh,2013,88443.6,16.5,976500.0,1599.03,13.276999999999997,8678.0,15330.16,20787.0,19877.0,143235.0,80944.0,3021.0
Bangladesh,2014,90929.1,32.46153846153846,1066750.0,1551.28,13.469,8720.0,15857.26,30282.590000000004,9173.42,172867.82,96069.75,10727.55
Bangladesh,2015,91512.3,31.75,1149250.0,2235.39,13.494099999999998,8834.24,13364.42,91021.4,9521.43,169514.93,48841.49,17540.93
Bangladesh,2016,95472.8,27.76923076923077,1101500.0,2332.42,13.1735,8917.21,14387.63,41406.61,11767.31,100774.25,75223.03,9580.06
Bangladesh,2017,94857.7,30.38461538461538,1153000.0,2151.64,14.0808,8961.33,15144.49,43121.02,7971.57,113621.09,82365.5,9519.08
Bangladesh,2018,93973.2,25.461538461538463,1215500.0,3613.35,14.045499999999999,9027.3,15144.49,56559.06999999999,8691.18,110621.54,100923.72,20363.3
Bangladesh,2019,87841.8,41.30769230769231,1219750.0,2873.93,14.0954,9272.0,15144.49,84718.74,8550.1,85671.59,99292.6,108423.84
Bangladesh,2020,92705.4,38.23076923076923,1246750.0,2563.58,14.168,9328.0,15506.47,95267.75,11070.78,62261.62999999999,100601.3,138891.08
Bangladesh,2021,93538.9,46.69230769230769,1468500.0,2895.56,14.621299999999998,9468.0,15506.47,105725.13,15271.939999999999,88437.4,115489.26999999999,216671.76
Barbados,2010,105157.75,3.1538461538461537,405.85714285714283,446.338689,0.0003,13.0,168.66,10496.0,9778.0,1400.0,2464.0,11789.0
Barbados,2011,116719.0,4.230769230769231,248.8,455.831155,0.0003,12.0,168.68,12287.0,10757.0,2670.0,1139.0,12695.0
Belarus,2010,107054.3,94.3076923076923,316652.9142857143,292.4,1.6160000000000003,5657.0,3386.54,68058.0,373850.0,134195.0,2099.0,51869.0
Belarus,2011,106238.8,86.92307692307692,247300.07142857142,928.9744999999999,1.7996,5651.0,3078.92,109812.0,332564.0,230615.0,5633.0,28198.0
Belize,2010,97561.1,30.08333333333333,951.717,97.21599099999999,0.0239,107.0,700.39,3023.0,32459.0,103789.0,0.0,3.0
Belize,2011,81461.2,33.25,3827.1524999999992,93.848889,0.022,107.0,826.58,4545.0,43023.0,107422.0,918.0,424.0
Benin,2010,62053.63636363636,99.5,13509.333333333334,176.804091,0.429,3100.0,2092.91,101586.0,4972.0,31008.0,0.0,244819.0
Benin,2011,65316.09090909091,32.333333333333336,3469.428571428572,161.091348,0.4436,3100.0,2080.63,3028.0,36014.0,153627.0,0.0,162527.0
Bolivia (Plurinational State of),2010,72782.81818181818,84.83333333333333,5653.618333333333,935.622,1.1437,4452.5,12969.35,60665.0,41901.0,172575.0,1336.0,284360.0
Bolivia (Plurinational State of),2011,72667.63636363637,58.916666666666664,6204.332307692307,1033.298,1.1667,4544.0,13839.18,86306.0,5009.0,241960.0,442.0,366010.0
Bolivia (Plurinational State of),2012,73404.09090909091,96.5,0.0,1505.247,1.3391,4640.5,14403.04,112790.0,25421.0,237213.0,70.0,385248.0
Bolivia (Plurinational State of),2013,77123.18181818182,138.91666666666666,250.0,2029.8469999999998,1.4902,4738.0,17070.92,186925.0,77902.0,229270.0,0.0,367660.0
Bosnia and Herzegovina,2010,52734.2,24.307692307692307,34361.59111111111,406.089278,0.2345,1109.0,2135.13,44696.0,37023.0,59756.0,12467.0,35918.0
Bosnia and Herzegovina,2011,53418.4,22.307692307692307,27768.8575,496.524372,0.2438,1107.0,2277.28,36279.0,71931.0,63194.0,11823.0,39628.0
Bosnia and Herzegovina,2014,50987.9,29.08333333333333,1.0,550.202487,0.22770000000000004,1112.0,2276.56,66842.27,23462.73,74670.88,10698.15,60896.259999999995
Botswana,2010,38630.77777777778,7.153846153846155,7881.495000000001,218.37999800000003,0.0281,261.0,390.32000000000005,16279.0,22639.0,2688.0,3741.0,299.0
Botswana,2011,36332.666666666664,5.076923076923077,2145.4484615384613,293.207775,0.0351,326.0,425.21000000000004,11216.0,23651.0,2084.0,568.0,754.0
Botswana,2012,36439.555555555555,7.615384615384615,4283.545454545455,146.495495,0.0204,287.0,457.36,5688.0,19364.0,2305.0,510.0,353.0
Botswana,2013,43915.333333333336,3.1538461538461533,5190.538461538462,67.136633,0.0156,282.0,481.63,21072.0,15438.0,595.0,3876.0,310.0
Botswana,2014,46559.333333333336,3.230769230769231,6157.909090909092,515.184088,0.0325,404.0,469.2300000000001,4875.19,14985.08,1243.95,1278.25,912.48
Brazil,2010,149509.36363636365,6575.2307692307695,2182729.272727273,53587.04793,32.8934,61657.0,360735.33,2794280.0,13006195.0,2915672.0,2762123.0,1489228.0
Brazil,2011,149993.0,6733.615384615385,2416839.5833333335,71233.09981,34.5842,61923.0,408787.3,4268034.0,15224959.0,3652029.0,2935187.0,2397323.0
Brazil,2012,147206.9090909091,7693.0,1863891.8125,75376.57897,34.7388,62189.0,456839.26,6785155.0,12888522.0,3537681.0,3256988.0,2329530.0
Brazil,2013,150980.0909090909,9207.153846153846,1362471.4086956524,80498.61897,39.9732,62455.0,472977.15,7322998.0,12067976.0,3524255.0,3272139.0,1638605.0
Bulgaria,2010,52795.88888888889,445.61538461538464,18376.333333333332,1524.677337,1.6219000000000001,3350.0,1588.5,985753.0,175995.0,287254.0,378465.0,136619.0
Bulgaria,2011,48185.77777777778,479.0,28647.727272727272,1849.1565359999997,1.7026,3410.0,1459.75,1203352.0,193982.0,287831.0,438767.0,200561.0
