Area,Year,Total Export Value per 1000 USD,Total Crops and Livestock Yielded per 100g/ha,Total Crop Emissions,Total Fertilizers Used in Tonnes,Total FDI Inflows per million USD,Total Land Use per 1000/ha,Total Pesticides Used in Tonnes
Albania,2002,9.650551312935512,11.418656742660731,2.9698861208920246,10.594373845882284,4.898260062374555,6.790284694507799,4.294984954194803
Albania,2003,9.795985857299636,11.265226053078301,2.9693609193317196,10.59585109279687,5.182366599387046,6.785587645007929,4.326587330552992
Albania,2004,9.97819296523432,11.276186504387136,2.9690460082914854,10.159957556855142,4.7729800980186985,6.785964221928215,4.357221515754911
Albania,2005,10.019107138510902,11.294666555255224,2.9691161872735936,9.407160481620878,4.499987258264298,6.766287716196448,4.387027995879367
Albania,2006,10.173159983082313,11.383452320014351,2.9690263230583622,9.144356704553454,4.732704744324433,6.7875630936537314,4.415837441491632
Albania,2007,10.383063708190111,11.352507001744625,2.9688962196002513,9.135393586578516,5.433131345889787,6.667365651037969,4.443931482402935
Albania,2008,10.628201025452782,11.38249678641386,2.9693112931961907,9.782919392017655,5.7880677708357995,6.672304156419652,4.471219657919532
Albania,2009,10.529066070156771,11.461267510800946,2.9692967471380225,9.92257914279165,5.805560144580761,6.691853301210529,4.497795297163226
Albania,2010,10.603506898913261,11.540022280490897,2.9638140985134505,10.041003496282764,5.866923784990392,6.693049245772664,4.87894770326952
Albania,2011,10.677500179150627,11.59555810259118,2.964273425701825,10.16845611518101,5.71387405735904,6.69266847049189,4.864444210493219
Albania,2012,10.642224344448195,11.631831102596395,2.964122920369137,10.126735098442712,6.08730877746374,6.6925621817406835,4.50107276118394
Albania,2013,10.678285762111804,11.584092819040217,2.958466448361502,9.877282855655627,6.0696705814368785,6.62055646751873,4.604825682209034
Albania,2014,10.387630036676631,11.637390770909725,2.9584846126523234,9.877280460366954,5.98106188488507,6.608444971004353,4.620671637477582
Albania,2015,10.40548389906074,11.70421427129139,2.9575171213214886,10.076719310890446,5.837197978899257,6.609887103885203,4.784115679919322
Albania,2016,10.500483762426152,11.794569801467961,2.9558031095086283,10.242919690039855,5.913317666842475,6.6150115289379725,4.865832147659138
Albania,2017,10.308310928462445,11.83010367221014,2.956243591166828,9.92949567576944,5.859400805528014,6.568341482713334,4.915901244593289
Albania,2018,10.347942401612732,11.924214188922763,2.944656499366855,9.323299681036465,6.063471171010845,6.569103456287982,4.584502517985394
Albania,2019,10.496186885402015,11.905886049717651,2.9285761071482472,9.458170213909561,6.094921688748204,6.569924870462884,5.0619196995554105
Albania,2020,10.733135769526202,11.884568015147828,2.9273106674353317,9.729208567385358,5.958074448238703,6.567419337858438,5.2238295145567974
Algeria,2006,12.078915181906716,11.03452669493611,0.43211785799422137,10.446334962324856,6.2783882820945776,10.677049679172606,6.378822256873728
Algeria,2007,12.367948055513674,10.956207723638181,0.42557269979122414,9.950371138434978,6.278051089685991,10.677679092794838,6.775489751478848
Algeria,2008,12.795689809971218,11.039384386321508,0.2528706241871014,9.644354063488763,6.785024849003181,10.678084020303412,7.087875804171104
Algeria,2009,12.534507010073051,11.160387665520862,0.4718040907750238,9.758488054444438,6.8346070419814176,10.678669823886322,6.741675113844742
Algeria,2011,13.051397847219258,11.244283637772009,0.42617146635003905,10.159688949403053,7.351202154862488,10.679089314477826,7.43956028837295
Algeria,2012,12.986726436334292,11.268832754343126,0.4835674729951266,10.386163979100415,6.593144193559834,10.6793433916548,7.565821764674367
Algeria,2013,13.032350500416955,11.32960460904317,0.4522320629480317,10.498667039115826,6.572601367388488,10.679688656352035,7.426804000217906
Algeria,2014,13.160700728553126,11.387735188314773,0.406009404396505,10.762389891185927,6.613676927884946,10.67983040188266,7.316038634320505
Algeria,2015,13.003368328806907,11.403709749793453,0.4338689826201824,10.710608745848809,,10.68009645235954,7.0318663981649046
Angola,2006,10.919125003387329,11.240855433377787,4.060991997756395,8.260395902545477,4.349440334055508,10.385523965349217,3.020546829928429
Angola,2008,11.56250262096764,11.365402620918948,4.062286138528212,8.212955784928383,7.661671773007822,10.386485888873205,3.020546829928429
Angola,2009,11.399737356448513,11.36456360361612,4.068085855891301,8.323944457579424,7.009432105430211,10.392993850900643,3.020546829928429
Angola,2010,11.466553985922278,11.367402459493327,4.0687700261292745,8.975630184290507,,10.395697296043029,3.020546829928429
Angola,2011,11.823480324402063,11.412613798557633,4.069152672235733,8.931113784278716,,10.401786367175015,3.020546829928429
Antigua and Barbuda,2005,8.352490060103621,10.297773742052858,1.6666527779320972e-05,2.517696472610991,5.402512386279273,2.4295847837553533,5.107144754476063
Antigua and Barbuda,2006,8.0472331975821,10.298818146163695,1.6666527779320972e-05,2.583997552432231,5.885604362191817,2.429657441666162,4.940956473114019
Antigua and Barbuda,2007,8.205131487693352,10.295901192899562,1.6666527779320972e-05,0.9808292530117262,5.826603857240211,2.4298049430047657,4.768342901721063
Antigua and Barbuda,2008,8.232101699904105,10.302502737874821,1.6666527779320972e-05,2.3513752571634776,5.073821488752418,2.4298783186514212,4.856675707120707
Antigua and Barbuda,2009,8.20472153197525,10.298359248058384,1.6666527779320972e-05,3.912023005428146,4.402400826537086,2.4300250537947514,5.029941065954069
Antigua and Barbuda,2010,8.118220597613693,10.291166249417776,1.6666527779320972e-05,3.258096538021482,4.58168872166147,2.4300976797246614,4.925179070864283
Antigua and Barbuda,2011,8.489956039882923,10.293369369417134,1.6666527779320972e-05,1.9810014688665833,4.192085059139189,2.4302451161466387,5.413442905933159
Argentina,2005,13.587294370893613,11.970694326477211,6.780482337523202,12.112861439908919,7.609373974713867,11.27812332277144,10.576513800860537
Argentina,2006,13.676345325022625,11.966149903090509,6.7807686700797065,12.306766682952059,7.82301755427608,11.280597995283761,10.652015579904202
Argentina,2007,14.011088203565485,11.896394050042835,6.78126763036876,12.766797247075942,7.878272131596115,11.281323473844063,10.87772797716997
Argentina,2008,14.293320823476071,11.900171055638632,6.785370408607785,12.466723477097586,8.261328507126086,11.269594603450283,10.962918291093597
Argentina,2010,14.186392330310658,11.87125131813536,6.786759293576174,12.438962698852748,8.08269265661165,11.269075890921032,11.10806767954716
Argentina,2012,14.402295517623472,11.815024699794792,6.789985661985723,12.479229508767414,8.502579407237226,11.26507792823312,11.023174791340697
Argentina,2013,14.383588606428832,11.897754252902313,6.789868337927775,12.513806311609649,8.249246610608395,11.258236789088944,11.00548600643216
Argentina,2014,14.277056019631452,11.82103096128893,6.7895695747656495,12.2454459111493,8.201080192164875,11.251608287829702,10.98747916864471
Argentina,2015,14.187223831062221,11.780495735063418,6.789646271452695,11.979027651810704,8.463751972257414,11.250982333242467,10.966103066524376
Argentina,2016,14.262213791864731,11.789034693278483,6.790252022933789,12.38726485651982,6.325044630035287,11.244300737492205,10.944261238104822
Argentina,2017,14.235571155697453,11.801751882409455,6.791608897027119,12.423184442332664,8.754199542795437,11.239453848773277,10.921931026373178
Argentina,2018,14.220235807722513,11.809649264800948,6.792098156969145,12.556044540816577,8.813183044220928,11.165268591439444,10.795537551849607
Argentina,2020,14.258882197691255,11.747429693265905,6.790036585005783,12.863711812331125,8.0092178342783,11.24141647037365,11.137087568691497
Armenia,2002,9.355518778210584,11.272928184083858,0.04333084472201453,9.616494131798204,3.440434120328053,6.841081145714145,3.0310457908997828
Armenia,2003,9.50614251226225,11.401393165196144,0.04144579991320746,9.482629579820482,4.361792889459726,6.855092626398831,3.1276373444339294
Armenia,2004,9.69537628155587,11.333039606120888,0.04643819410578466,9.113223561196456,4.510014270284448,6.871678950399446,3.840932697763745
Armenia,2005,9.83882680170659,11.414525851108616,0.04492556335299238,9.133826430875937,4.725915785951032,6.896963927903917,3.9133998349410204
Armenia,2007,10.385988287476206,11.519627401185346,0.041157938084896296,8.259748008405007,5.464381532428883,6.70375814201028,4.003406293155113
Armenia,2009,10.407893866549934,11.552890559122876,0.036283712077246656,8.651349388809603,5.439291743192848,6.7014833046911155,3.809694924326623
Armenia,2017,11.163435806420521,11.50308610573726,0.03138561157323312,8.923416012387493,,6.780667368183723,4.843285542832405
Armenia,2019,11.389255548627231,11.415677631348869,0.02208759646400479,8.094927081406295,,6.614824367726258,4.757452454755322
Armenia,2020,11.318230364565311,11.471680927487565,0.024041994480237912,7.533279301742814,2.3423394137534617,6.615248956949622,5.081381072787736
Australia,2003,13.576310559899099,12.028378728312578,6.188276272221657,13.078369990282896,8.99357504017142,12.246316873175287,9.280947473226277
Australia,2005,13.867995198666906,12.080902563158151,6.187957950275343,13.029707646431383,,12.230233409397009,9.33767629978146
Australia,2009,14.042621860665196,12.025880819249345,6.180388668642412,11.86144413676962,9.681735938194683,12.19894861549488,9.441539787506986
Australia,2010,14.203272666348132,12.015738345002724,6.181564178874918,13.211346106298606,9.839157262961304,12.188324194468603,9.543914603911517
Australia,2011,14.425288901242741,12.005230268664947,6.187483394026087,12.535942059990974,9.914619332398205,12.211005992253583,9.66573256385326
Australia,2012,14.53214796186761,12.017338755418496,6.190876041017607,13.197736650767563,10.42592797115631,12.20310087705428,9.68763496162328
Australia,2013,14.538225319044386,12.072687216278453,6.190525834531152,12.81985730370478,9.588050634267546,12.119727628291743,9.612802085517902
Australia,2014,14.561359981595999,12.052721721570496,6.18547560496481,12.979686290120092,9.861298284374168,12.12564594191741,9.711368860154012
Australia,2015,14.495944898597848,12.087936422510476,6.184540498098186,13.00819399214146,8.529383882816227,12.090676309439123,9.732489442845525
Australia,2016,14.46732169697387,12.048764714098029,6.178602161666808,12.893751778529536,9.447551528958629,12.088112719229564,9.951915190683481
Australia,2017,14.600288042815997,12.065775559991451,6.1861933631530475,12.897457273706854,9.514639836413068,12.118672101915944,9.899510655152223
Austria,2004,13.364031484727487,12.214920884154226,3.8722813299308783,10.445099380317634,7.633422499525342,7.656735789496819,6.826143841495153
Austria,2005,13.484150738970518,12.22619776983821,3.884495578545893,10.625780828826777,8.265834244230094,7.588249412974317,6.859228080234268
Austria,2006,13.616069495082908,12.179729183537463,3.879826206731584,10.505278265522264,8.40326915122468,7.653877731469154,6.855533734354734
Austria,2007,13.741294874881733,12.174532441608159,3.880063704293187,10.421881960652048,9.422579992213983,7.5845122034790995,6.886476190825284
Austria,2008,13.898555561924892,12.259747052817033,3.8808903753690576,10.49759510754624,8.692769969437132,7.648927024592838,7.071345348889856
Austria,2009,13.770662457392213,12.268954952151349,3.8855869656180233,10.25937426923871,8.324069157848369,7.6468825567199605,6.880179979725862
Austria,2010,13.81186316430382,12.261311022834679,3.889572876590554,10.450022925536143,7.795644189994393,7.396162818123371,6.926450851141815
Austria,2011,13.95289133427904,12.460376046821807,3.8902834034070506,10.4088910028523,9.012653436449513,7.641519861706177,6.879510113541834
Austria,2016,13.861224712332454,12.140699109197763,3.897301507303345,10.87379075049731,,7.3811375691196295,6.938169471167958
Austria,2017,13.937634431130991,12.083318398854408,3.89688364816722,10.8740277669647,8.344273112665478,7.625634095761266,7.180298332591114
Austria,2019,13.986936206160912,12.432348429136288,3.898052537976875,10.709815438704622,7.974545822022615,7.6250398657691125,7.245996358441321
Austria,2020,14.030932731685642,12.518990040421548,3.8981698250228582,10.852402519330806,,7.551409228278892,7.367338734873144
Austria,2021,14.131232641528522,12.495561834163489,3.8980461155223516,10.794190306600079,8.569693934420888,7.617313592919156,7.413639571597945
Azerbaijan,2002,9.617734174512481,11.408454452576947,0.33362294314188334,9.121582015360415,7.064545329746326,7.873471687330708,3.642279078107378
Azerbaijan,2003,9.88741609575782,11.352560364050145,0.31384920715599945,8.554802029273155,7.589108179659371,7.87450383133269,3.642279078107378
Azerbaijan,2004,10.180441976476633,11.124430098318221,0.2946080325225141,8.775008664261724,7.900840371435321,7.874964860148027,3.642279078107378
Azerbaijan,2005,10.516784020879118,11.117030327358599,0.2819531937181946,8.94654408265036,7.87344551315106,7.875513540064075,3.6422463368451994
Azerbaijan,2006,10.653103673192506,11.26154259278865,0.23537510657810495,8.822211617114885,7.718285415177126,7.875095525531983,3.6422463368451994
Azerbaijan,2007,11.111825814371704,11.241410184657651,0.21762166706751548,8.673901636332738,7.817021395919328,7.8754779206362855,3.6422463368451994
Azerbaijan,2009,11.148918349092892,11.240141558631288,0.316658180688298,8.71622287172776,7.42809282068071,7.874610789940999,4.353980749895336
Azerbaijan,2011,11.458569150990757,11.353671786967066,0.28136214370696155,8.816383786050887,7.789206088013584,7.876066665653113,4.74970333672039
Bahrain,2002,10.169237106082091,11.960530099272486,0.0,8.63395983770803,5.3210100537909595,2.786964066745053,0.2409834694425408
